id,created_at,text
1066925098702131202,2018-11-26 05:22:20,b'@Artistic_Fruits @HPluckrose That\xe2\x80\x99s what he said.'
1066923461807955968,2018-11-26 05:15:50,b'@clairlemon What I find curious is what makes #cuckolds excluded from this effect?'
1066902480796168192,2018-11-26 03:52:28,b'@HPluckrose This is not a \xe2\x80\x9cphilosophy.\xe2\x80\x9d This is merely rhetoric'
1066900463948374017,2018-11-26 03:44:27,b'@jcounsellor @jackmurphylive I\xe2\x80\x99m not sure most counselors and therapists are mature enough to handle it.'
1066892281125449728,2018-11-26 03:11:56,b'I get mentioned in some kooky places. PM Modi\xe2\x80\x99s lying spree; \xe2\x80\x9cPersonality disorder\xe2\x80\x9d or symptom of \xe2\x80\x9cmanic episode\xe2\x80\x9d |\xe2\x80\xa6 https://t.co/zxh3lA4c2R'
1066783743850016769,2018-11-25 20:00:39,b'@jackmurphylive What a fun chat we had!'
1066783682126626817,2018-11-25 20:00:24,"b'RT @jackmurphylive: @DrDavidLey is a three time author covering controversial subjects like the myth of sex addiction, hot wives, and now e\xe2\x80\xa6'"
1066783486651105281,2018-11-25 19:59:37,"b'RT @jackmurphylive: NEW PODCAST: Porn, Masculinity and Healthy Sex Norms\n\nGUEST: @DrDavidLey - David is a three time author, clinical psych\xe2\x80\xa6'"
1066576403917873154,2018-11-25 06:16:45,"b'RT @NickWolfinger: Academia isn\xe2\x80\x99t a place that will foster open inquiry if formal complaints are filed for such trifling matters. Moreover,\xe2\x80\xa6'"
1066568534078210048,2018-11-25 05:45:29,b'Thoroughly enjoying Wanderlust on @netflix   Great writing. Who are their advisers? Someone knows #CNM and therapy quite well!'
1066549357154058240,2018-11-25 04:29:16,b'RT @jessesingal: 3/ Separate note: Gonna be funny watching the progressives who approvingly tweeted this article before the backlash had fo\xe2\x80\xa6'
1066389651026513920,2018-11-24 17:54:40,"b'Boxer Asks #BJJ Instructor For An ""Arrogance Check,"" Gets What He Asked For.  https://t.co/8rYlXcdtRD'"
1066150397595676672,2018-11-24 02:03:57,"b'For Black Friday I went shopping for submissions, chokes and foot locks. https://t.co/F5ZQVZE7uR'"
1066149744626434048,2018-11-24 02:01:21,b'@mattstaggs My wife had a family legend of significant African heritage but that didn\xe2\x80\x99t show up. 30% Native American did though.'
1066141907414392833,2018-11-24 01:30:13,b'RT @SpectatorGadget: Came across this in the doctors office today. Print isn\xe2\x80\x99t dead yet! @clairlemon https://t.co/J6n0nGEZSy'
1066135066986930176,2018-11-24 01:03:02,"b""RT @JustinLehmiller: RT @DrZhana: Why do most bisexual guys stay in the closet? In this week's episode of the @ScienceofSexPod, I talk to @\xe2\x80\xa6"""
1066134900871450626,2018-11-24 01:02:22,"b'@kittypurrzog And the dead. Don\xe2\x80\x99t forget them. Cemeteries elected JFK. When the dead can have babies, all things will be equal'"
1066106676313346048,2018-11-23 23:10:13,b'@kittypurrzog Power to you. You are taking on 70\xe2\x80\x99s Rock Stars.'
1066102960919240704,2018-11-23 22:55:27,b'RT @NicoleRPrause: This is what science works to prevent:years later a purity book author realizes how his anti-sex book harmed millions.\xe2\x80\xa6'
1066098712231866368,2018-11-23 22:38:34,b'@kittypurrzog Isn\xe2\x80\x99t that the guy that sang about shaking your peaches? Weird.'
1066085216236621824,2018-11-23 21:44:57,b'@OurBiNation I certainly hear this often from bisexual men especially.'
1066084853966204928,2018-11-23 21:43:30,b'@DrSprankle @sunshinelaughin And against professional football.'
1066058626786385930,2018-11-23 19:59:17,"b'RT @jmrphy: Funny story... A few months ago I was invited by a little local group to give a talk at an event tonight, called ""Dangerous Ide\xe2\x80\xa6'"
1066000538670645248,2018-11-23 16:08:28,b'@JustSarahPhD @NickWolfinger You\xe2\x80\x99d have to check. I doubt it. The only good representative sample study on topic I\xe2\x80\x99\xe2\x80\xa6 https://t.co/ClmzUSMxVr'
1065713628110905345,2018-11-22 21:08:23,b'@NickWolfinger @JustSarahPhD It\xe2\x80\x99s in a few different articles from this body of work.'
1065697998787805184,2018-11-22 20:06:17,b'@JustSarahPhD @NickWolfinger And the disparity article mentioned here. https://t.co/uEQXEVh0W2'
1065697640229289985,2018-11-22 20:04:51,b'@JustSarahPhD @NickWolfinger https://t.co/Q2XXNtRAcn'
1065697263895437317,2018-11-22 20:03:22,b'@JustSarahPhD @NickWolfinger Its research from Tashra and sprott and Randall. Here\xe2\x80\x99s one. https://t.co/VCca8EO5OT'
1065670462183796738,2018-11-22 18:16:52,b'@MCSeto @JohnSakaluk @cygraham_graham Isn\xe2\x80\x99t that wild?! When I see my blogs and tweets cited in academic papers it\xe2\x80\xa6 https://t.co/lKhLiEjKSL'
1065669118274256898,2018-11-22 18:11:31,b'RT @JamesCantorPhD: The problem of the extreme right is its unholy alliance with antisocial personality disorder.  The problem of the extre\xe2\x80\xa6'
1065668231988416512,2018-11-22 18:08:00,b'@NickWolfinger That is science. I felt Similarly with data showing high rates of psychiatric hospitalizations in bd\xe2\x80\xa6 https://t.co/SOXzFtwtCs'
1065667359438983168,2018-11-22 18:04:32,b'@kfranklinphd Let me at that tap!'
1065500658013487106,2018-11-22 07:02:07,b'Alright. I learned things here. I feel mildly manipulated by the whole chip incident. But I\xe2\x80\x99m willing to let that s\xe2\x80\xa6 https://t.co/xOHy3LbxiH'
1065499516944740352,2018-11-22 06:57:35,b'@NickWolfinger O I just meant that I feel conflicted between values and my desire for philosophical integrity'
1065480436380549122,2018-11-22 05:41:46,"b'@ErikaMoen Thats a country song right? All my tights have holes in them, and my truck just blew a transmission!'"
1065479542175875073,2018-11-22 05:38:13,b'@NickWolfinger I can\xe2\x80\x99t argue that. I feel similarly conflicted'
1065471380551028736,2018-11-22 05:05:47,b'@yikes_run @jackmurphylive Thanks my friend'
1065459575401443329,2018-11-22 04:18:52,b'How interesting. Well played. https://t.co/YufW7DfNSI'
1065459064669421568,2018-11-22 04:16:50,b'@yikes_run @jackmurphylive You are too kind!'
1065448497506324480,2018-11-22 03:34:51,b'@jackmurphylive Enhhh. Yellow belt in life on some days!'
1065443861462478848,2018-11-22 03:16:26,b'@jackmurphylive I\xe2\x80\x99ve not yet been banned here! Oh wait. Yes I was. For tweeting the identities of folks who sent me\xe2\x80\xa6 https://t.co/zPe1p0gdKS'
1065441888264695808,2018-11-22 03:08:35,b'@SexualSocialist Dude. It\xe2\x80\x99s coffee beans that you use for smuggling. Who taught you how to travel?'
1065441509959438337,2018-11-22 03:07:05,b'@jackmurphylive Bye bye baby. See you on the flip side.'
1065441212105142272,2018-11-22 03:05:54,b'Pedagogical cuts between mud and the person. https://t.co/4AkZDd5yCW'
1065440503796326401,2018-11-22 03:03:05,"b'@JFTxWine \xe2\x80\x9cHey, what happened to that guy you were dating?\xe2\x80\x9d \xe2\x80\x9cOh, it didn\xe2\x80\x99t work out. You want seconds? I have to ge\xe2\x80\xa6 https://t.co/CiZZpmjP2w'"
1065428698822717440,2018-11-22 02:16:11,b'I wish I was a literary agent. This woman is sitting on the next bestselling published from prison cookbook. https://t.co/mtARDRrNIF'
1065421944084848641,2018-11-22 01:49:20,"b'This is EXTREMELY interesting. In a really dry, boring way. @NicoleRPrause  you will appreciate this! https://t.co/TGoTm4ZHc8'"
1065420043515658240,2018-11-22 01:41:47,b'@Xotraz @HPluckrose I might give your opinion more credit if you spelled oppressive correctly.'
1065415120409419776,2018-11-22 01:22:13,b'@sentientist BEAUTIFUL'
1065413457955049473,2018-11-22 01:15:37,b'@kittypurrzog @jessesingal What about the deplatforming of Pluto? Pretty sure y\xe2\x80\x99all responsible for robbing our solar system of a planet!'
1065269904188891137,2018-11-21 15:45:11,"b'Best feeling a writer can ever have! I love helping people to accept secret, shamed aspects of themselves and their\xe2\x80\xa6 https://t.co/MSIv3Gt5Zo'"
1065090210311081984,2018-11-21 03:51:09,"b'@SpiritualSwing Mmm maybe. I\xe2\x80\x99d say more likely the straight men simply fear being judged gay by association, or eve\xe2\x80\xa6 https://t.co/Pf0qOmmuZK'"
1065056457089998848,2018-11-21 01:37:01,b'RT @DrChrisStults: Takeaway #4 from our study of young gay/bi men in non-monogamous relationships: The majority said that the bond in their\xe2\x80\xa6'
1065056208275435525,2018-11-21 01:36:02,b'@rejaniced BBO. Big black olives.'
1065048293577711617,2018-11-21 01:04:35,b'Cuz shaming comes in all flavors. https://t.co/mUlkEwUtmS'
1065039168068145152,2018-11-21 00:28:19,b'@BridgetPhetasy Sing it sister.'
1065037795645829121,2018-11-21 00:22:52,b'@SadisticWhiskey Bless you'
1065037756831649792,2018-11-21 00:22:43,b'RT @SadisticWhiskey: @DrDavidLey I get annoyed with people who shame bisexual men.'
1065037632499924992,2018-11-21 00:22:13,b'@EricSchrimshaw I have my moments. Few and far between but they do occur.'
1065037451847065600,2018-11-21 00:21:30,"b'RT @EricSchrimshaw: @DrDavidLey Absolutely, @DrDavidLey! This is one of our main findings that bi men described.'"
1065029798102106112,2018-11-20 23:51:05,"b'@JoshuaGrubbsPhD @ADPerillo Sometimes I feel so dirty and transgressive, with a desperate need to get Grubby with it.'"
1065028969127325696,2018-11-20 23:47:48,b'Bisexual women don\xe2\x80\x99t offer much sympathy for the challenges faced by bi men. I think that\xe2\x80\x99s unfortunate and strange\xe2\x80\xa6 https://t.co/Gne7XD1fA2'
1065021881097498624,2018-11-20 23:19:38,b'@clairlemon Sex addiction therapists providing an unregulated and unsupported treatment that makes people worse. Ps\xe2\x80\xa6 https://t.co/1v9SyyUjMd'
1065021299280437248,2018-11-20 23:17:19,b'@TashaJacksTweet @geekmagnifique Maybe the fluid is tequila? Then it works.'
1065020786803535872,2018-11-20 23:15:17,b'@kittypurrzog Tell them that you will only accept emails written in the language and dialect of their former life.'
1065019731684470784,2018-11-20 23:11:05,b'@JustSarahPhD If you have another kid do the same thing? My wife went \xe2\x80\x9cnatural\xe2\x80\x9d during first pregnancy. During seco\xe2\x80\xa6 https://t.co/rX3dFG1MsK'
1064938262198775808,2018-11-20 17:47:21,b'@JustSarahPhD I pretty much feel like I need a sedative just thinking about you doing that.'
1064937724161884160,2018-11-20 17:45:13,b'@mistressmatisse @Velvet_Swing Mine too!!'
1064734331191488513,2018-11-20 04:17:01,"b'@Velvet_Swing @mistressmatisse David Bowie\xe2\x80\x99s spirit, The Goblin King, returns.'"
1064733947739992065,2018-11-20 04:15:29,b'RT @SteveStuWill: Time to retweet this old classic: The difference between boys and girls... https://t.co/7kPgpXmWKG'
1064726683910107136,2018-11-20 03:46:37,b'@mattstaggs Your pain or that of the person sleeping with you?'
1064724207890825216,2018-11-20 03:36:47,"b'Exploitation, hucksterism and snake oil. https://t.co/pG6BM8U5kV'"
1064688647901974528,2018-11-20 01:15:29,"b'@justplainzack And placebo effect, expectancy theory, social conformity and the ostrich syndrome (bury your head in the sand)'"
1064687691936264192,2018-11-20 01:11:41,"b'There\xe2\x80\x99s belief and then there\xe2\x80\x99s science. When disease is involved, which one do you think wins? https://t.co/fHcz3Rp6dA'"
1064685753131778050,2018-11-20 01:03:59,b'But emails!!! https://t.co/FY3K7GjU9q'
1064373951810424833,2018-11-19 04:24:59,b'@kittypurrzog I had a very brief position as her snake handler.'
1064373524394115072,2018-11-19 04:23:17,b'@ChrisDonaghue Star Trek.'
1064336292090077184,2018-11-19 01:55:21,b'Gracie Barra New Mexico black belts. A normal Sunday. #bjj #everydayporrada https://t.co/3fWeqvaCld'
1064335453598314496,2018-11-19 01:52:01,b'@jackmurphylive @The_Red_Hen I\xe2\x80\x99m pretty sure you\xe2\x80\x99re not celibate'
1064335332735246337,2018-11-19 01:51:32,b'@jbview @dandrezner Brilliant quote. Annoying movie.'
1064335168238993408,2018-11-19 01:50:53,b'Just found out the foodworker\xe2\x80\x99s union has colonized in the medical cannabis industry. Brilliant.'
1064330610209107976,2018-11-19 01:32:46,b'@kittypurrzog Duhh. Kings and queens get reincarnated in multiple bodies. At any given time there\xe2\x80\x99s a hundred Cleopatras'
1064272552745463810,2018-11-18 21:42:04,b'For me as well!! https://t.co/uYVvz229sC'
1064235567922200576,2018-11-18 19:15:06,b'@JustinLehmiller @NicoleRPrause I\xe2\x80\x99m in! I\xe2\x80\x99m sure I can round up a few subjects'
1064235145035685890,2018-11-18 19:13:25,b'The dignity of the office of President https://t.co/q0KDqSqG97'
1064234415709192192,2018-11-18 19:10:31,b'@NicoleRPrause Sweeeeeeet!'
1064183637422297094,2018-11-18 15:48:45,b'RT @jackmurphylive: This stud is coming up next on my podcast. The one handed ninja with a black belt in BJJ whose also a men\xe2\x80\x99s sexual heal\xe2\x80\xa6'
1064172143204843522,2018-11-18 15:03:04,b'@NicoleRPrause @JustinLehmiller Get out your measurement devices!!'
1064041113353375744,2018-11-18 06:22:25,"b'RT @Deb4CongressNM: \xe2\x80\x9cThere is a beautiful sisterhood this week in D.C.,"" Haaland said. ""Many of us have been in touch for months before we\xe2\x80\xa6'"
1064022073578741760,2018-11-18 05:06:45,b'@BadName717 Right????'
1064021969123885056,2018-11-18 05:06:20,b'@JustinLehmiller I see this far less often in males. I\xe2\x80\x99ve seen women orgasm from elbow stimulation. Men were robbed.'
1064010627398549504,2018-11-18 04:21:16,b'@Maggie_McNeill Wanted. A weapon that takes nasty emails and tweets and rephrases them to inundate the hypocritical\xe2\x80\xa6 https://t.co/UskHfxDeBM'
1064003727005085696,2018-11-18 03:53:51,b'@sbkaufman My buddy just now was 55. When he saw it today.'
1064002993110974464,2018-11-18 03:50:56,b'@mistressmatisse @humpfilmfest @Velvet_Swing So it\xe2\x80\x99s now Pastor Matisse?'
1064002713308954624,2018-11-18 03:49:49,b'45. Umm. Today. https://t.co/BNdvDliYox'
1063960407633743873,2018-11-18 01:01:43,b'Gender science jumps the shark: Childhood Gender Nonconformity and Children\xe2\x80\x99s Past-Life Memories.  https://t.co/S5OZPQj6Ma'
1063937562102980608,2018-11-17 23:30:56,b'@Maggie_McNeill @ACLU Pretty sexy canaries. I like those feathers'
1063937336864591872,2018-11-17 23:30:02,b'@anjel990 It touches my thirteen year old soul.'
1063936937994739713,2018-11-17 23:28:27,b'@Maggie_McNeill @DesireeAlliance They want to save your soul. By putting you in a box.'
1063931928334802944,2018-11-17 23:08:33,b'@jackmurphylive I find that apple podcasts selection seems to be quite morally influenced in their podcasts when it\xe2\x80\xa6 https://t.co/J8IWfu39KT'
1063906537725296640,2018-11-17 21:27:39,b'Excellent book. One of my all time favorites! https://t.co/MrxUL21CZC'
1063892095281311746,2018-11-17 20:30:16,"b'@GrahamJHolloway Lots. Mine of course. Books by justin lehmiller, michael Aaron, marty klein, Esther Perel, Geoffre\xe2\x80\xa6 https://t.co/P30s45e4fO'"
1063836067080622080,2018-11-17 16:47:38,b'Suicide is tragic. So is loss of privacy and autonomy. I worry about Big Brother out to save us from ourselves. Fac\xe2\x80\xa6 https://t.co/gH0Mab5OJD'
1063660133249617920,2018-11-17 05:08:32,"b""Porn for masochistic hypochondriacs: North Carolina man's runny nose turns out to be leaking brain fluid https://t.co/nuhCGsS2NH"""
1063625962355482624,2018-11-17 02:52:45,"b""RT @ConceptualJames: I didn't do it. https://t.co/v5uJjqChAr"""
1063571068617613313,2018-11-16 23:14:37,b'@MrsCatchy I do like cookies!'
1063544294772891649,2018-11-16 21:28:14,b'@thejessicadrake @hollyrandall Congrats!!!'
1063544083912638464,2018-11-16 21:27:23,"b'RT @DrSprankle: The term \xe2\x80\x9csex addict\xe2\x80\x9d is as clinically useful as the term \xe2\x80\x9cfrigid.\xe2\x80\x9d It\xe2\x80\x99s a vague, clinically meaningless, and judgment-ridd\xe2\x80\xa6'"
1063511708382126080,2018-11-16 19:18:45,b'I gave some of my staff a long deserved raise. These were their thank you cookies to me. https://t.co/B1JGVOIs4Z'
1063510854858006529,2018-11-16 19:15:21,"b""RT @jackmurphylive: Episode three is with @DrDavidLey a clinical psychologist and men's sex therapist as well as a Black Belt in Brazilian\xe2\x80\xa6"""
1063460628281475072,2018-11-16 15:55:46,b'I\xe2\x80\x99d forgotten how good this article is. https://t.co/WZH0VOKwXq'
1063298398168772608,2018-11-16 05:11:07,b'@JoshuaGrubbsPhD Freud was wrong about a lot of things. But no one has ever better captured the interactions betwee\xe2\x80\xa6 https://t.co/7Ee1YLr0nG'
1063284692974256128,2018-11-16 04:16:40,b'@jonronson Dance monkey dance.'
1063283951123484672,2018-11-16 04:13:43,b'Surely this is the answer. Big Brother will save us!! https://t.co/9Eo4x0I8tI'
1063277884431843328,2018-11-16 03:49:37,"b""RT @ConceptualJames: I received this note recently and am sharing it with permission. It's difficult to read it and conclude that grievance\xe2\x80\xa6"""
1063262812494094337,2018-11-16 02:49:43,b'Very interesting. Largest ever study of psychological sex differences and autistic traits. Women are more empathic\xe2\x80\xa6 https://t.co/6mNeWZ1zhd'
1063250129401102336,2018-11-16 01:59:19,b'Me and thrift stores are good friends https://t.co/GHxjSsZIZT'
1063199148508246016,2018-11-15 22:36:44,b'@BeauWhosoever @Inkwellmgmt @WednesdayMartin @KirkusReviews I\xe2\x80\x99m in it!'
1063199004081573888,2018-11-15 22:36:10,b'@Spacebunny21 Exactly. No one was harmed in the making of these films.'
1063149924060037120,2018-11-15 19:21:08,b'@Spacebunny21 @primalpoly You have to get a subscription? Do you get a discount if you sign up for life?'
1063148806143766528,2018-11-15 19:16:42,b'@mattstaggs @verified @jack @TwitterSupport @joerogan Hear hear!'
1063148656658792448,2018-11-15 19:16:06,b'@primalpoly @Spacebunny21 It\xe2\x80\x99s guilt free porn. Organic.'
1062945631688216576,2018-11-15 05:49:21,b'RT @WednesdayMartin: Can we stop flipping out about hookup culture now? Young People Are Having Less Sex - The Atlantic #sexed #scicomm #an\xe2\x80\xa6'
1062874387353747456,2018-11-15 01:06:15,b'@slipperyginge @McAllisterDen Ah. So your problem is with masturbation not exploitation. Thanks for clarifying. It\xe2\x80\x99\xe2\x80\xa6 https://t.co/GASWuYlQlP'
1062797111530446848,2018-11-14 19:59:11,b'@McAllisterDen Ones \xe2\x80\x9cbeing\xe2\x80\x9d? Sorry. I don\xe2\x80\x99t see it. I see young men developing CTE from head injuries for our enjoy\xe2\x80\xa6 https://t.co/HyxOwLzvc4'
1062796347886059520,2018-11-14 19:56:09,b'@McAllisterDen People who watch professional sports are clearly using others\xe2\x80\x99 bodies to satisfy personal desires. A\xe2\x80\xa6 https://t.co/ICAttZedkW'
1062796220609945600,2018-11-14 19:55:39,"b'RT @NicoleRPrause: NPR covers the sexual ""purity"" interviews by bishops for the Latter Day Saint church of children, including ""were your n\xe2\x80\xa6'"
1062793237872537600,2018-11-14 19:43:48,b'@jackmurphylive People who watch professional sports are clearly using others\xe2\x80\x99 bodies to satisfy personal desires.\xe2\x80\xa6 https://t.co/xJphjfuiNw'
1062773216199016448,2018-11-14 18:24:14,b'@DrZhana @AlexDGarrett @ErstiesPodcast @TashaJacksTweet @JustinLehmiller @NicoleRPrause @kinseyinstitute\xe2\x80\xa6 https://t.co/yeCt1CMPYJ'
1062746577201057792,2018-11-14 16:38:23,b'@Entelekea You have to say that with a deep voice don\xe2\x80\x99t you?'
1062566245189398531,2018-11-14 04:41:49,"b""RT @ConceptualJames: Someone sent me this. I don't know if it's real, but that's the problem. https://t.co/00b77KhNBO"""
