id,created_at,text
1.06713E+18,11/26/2018 18:37,"b""I'm pretty sure I'm the wrong person to be asking this question https://t.co/jvey1CVlEH"""
1.06706E+18,11/26/2018 14:31,b'RT @iamdevloper: Hoping to grab some open source libs on Cyber Monday!'
1.06694E+18,11/26/2018 6:31,"b'@furan Given no sense of relative scale, it looks to me like the detection mechanism for nuclear events is 7 strand\xe2\x80\xa6 https://t.co/Z4UfhbtYQo'"
1.06683E+18,11/25/2018 23:16,"b""@davert I'm seeing the news coming about Ukraine and Russia...hoping for the best for you and your country. Stay safe!"""
1.06635E+18,11/24/2018 15:15,"b""I can't sing @vuejs's praises enough after completing this project. This is my first experience with Single File Co\xe2\x80\xa6 https://t.co/bHw5XKbtoi"""
1.06601E+18,11/23/2018 16:48,"b""@xiehan Yep, that's the kinda stuff you have to do to keep both...not sure what Google officially recommends for pe\xe2\x80\xa6 https://t.co/FxXWe3HGvR"""
1.066E+18,11/23/2018 16:20,"b""@xiehan @projectfi It's the one worst part about Project Fi...you have to pick one or the other...in my case, I had\xe2\x80\xa6 https://t.co/S5hZt9G84w"""
1.066E+18,11/23/2018 16:09,"b'@CAH Nothing but a flood of HTTP 503 Service Unavailable, Back-end Server is at capacity for the $20 deal...as some\xe2\x80\xa6 https://t.co/MutaXorkbS'"
1.06497E+18,11/20/2018 20:06,b'RT @Alex_A_Simons: Today\xe2\x80\x99s news is BIG! Password-less signin for your Microsoft account using a FIDO2 compatible device is live. Security g\xe2\x80\xa6'
1.06492E+18,11/20/2018 16:23,"b""RT @Ionicframework: You've asked for it, and now it's here...\n\xf0\x9f\x8e\x89 The first (alpha) release of @vuejs support in Ionic!\nRead more about it \xf0\x9f\x91\x89\xe2\x80\xa6"""
1.06462E+18,11/19/2018 20:44,"b'Another major Docker for Windows release, another milestone flies by with two of the most frustrating bugs on earth\xe2\x80\xa6 https://t.co/bCJFvJnViS'"
1.06368E+18,11/17/2018 6:12,"b""I didn't fail AP CompSci, but my programming teacher bluntly told me over the summer that no matter how smart I was\xe2\x80\xa6 https://t.co/VXNLqmp63o"""
1.06351E+18,11/16/2018 19:24,"b'Implementing a multi-stage build on my biggest Docker container dropped its size from 430MB to 320MB, but now the b\xe2\x80\xa6 https://t.co/nFwTtTwQhx'"
1.06344E+18,11/16/2018 14:35,"b""&gt; A service that I could use every day to support my FOSS project\n\n&gt; It's tied deeply into Cloudflare Warp, the big\xe2\x80\xa6 https://t.co/7kRBK9ZGO0"""
1.06327E+18,11/16/2018 3:15,"b'(As an update to my last trouble with HEB, my ER visit in Sept over their ranch chicken casserole having a sharp bo\xe2\x80\xa6 https://t.co/CAvSdDHFmS'"
1.06327E+18,11/16/2018 3:11,b'@HEB Loyal followers of my Twitter will know that I am quite literally going through a bankruptcy filing process *t\xe2\x80\xa6 https://t.co/W38lg7qm6c'
1.06327E+18,11/16/2018 3:09,b'@HEB I had to hop in my car in my shorts and T-shirt to drive out to that same HEB. The part of my order that got d\xe2\x80\xa6 https://t.co/geUwAZHQ6K'
1.06327E+18,11/16/2018 3:07,"b'@HEB (2/2) For yesterday\'s delivery, I picked ""9-10pm"".  At10pm, I get a call from the store saying it\'ll be 10 min\xe2\x80\xa6 https://t.co/Pt1cbHZ1BL'"
1.06327E+18,11/16/2018 3:05,"b""You used to be able to pick which @HEB you got delivery from, but now you can't, so I'm forced to use one particula\xe2\x80\xa6 https://t.co/XIvdVZmTCt"""
1.06304E+18,11/15/2018 11:51,"b'@thejanbeta ""Nothing wrong with the unit except that the FM tuner seems angry with me"" https://t.co/VhhNuRswyB'"
1.06267E+18,11/14/2018 11:42,"b'@xiehan I guess the jitters are just a little pesky or otherwise enjoyable to neurotypical folks, because if it cau\xe2\x80\xa6 https://t.co/5Te2MgH9hK'"
1.06267E+18,11/14/2018 11:41,b'@xiehan I have a long history of hitting up various companies selling caffeine-laden things on Twitter begging to k\xe2\x80\xa6 https://t.co/Pia6FQsCpp'
1.06267E+18,11/14/2018 11:38,"b""@xiehan I've made the same discovery with a few of the coffee porters/stouts that I enjoy...they seem to carry enou\xe2\x80\xa6 https://t.co/DUB3EKphpc"""
1.0626E+18,11/14/2018 7:12,b'One of the simple pleasures of using Tweetdeck is that you get to see the full step-by-step progression as\xe2\x80\xa6 https://t.co/auDXqQ2THt'
1.06082E+18,11/9/2018 9:09,"b""@jamestalarico Congratulations on your victory in this week's elections. As a Round Rock resident, I saw how fierce\xe2\x80\xa6 https://t.co/ec8LwT3NT1"""
1.06068E+18,11/8/2018 23:34,b'I am a web developer living with chronic mental illness. I still contribute daily to the FOSS community.\n\nTomorrow\xe2\x80\xa6 https://t.co/fNPaf1gkaN'
1.06029E+18,11/7/2018 21:47,b'@JessicaMauerhan I know a few PHP devs who are LGBTQ+ (and am one) :)'
1.05994E+18,11/6/2018 22:42,b'RT @phparch: Mental health is an important topic in the tech world. Thank you @OSMIhelp for raising awareness and supporting #phpworld as a\xe2\x80\xa6'
1.05918E+18,11/4/2018 20:28,"b'RT @OSMIhelp: When you donate to OSMI, your money goes toward resources that change the way we talk about mental health. https://t.co/KuT3i\xe2\x80\xa6'"
1.05917E+18,11/4/2018 20:05,"b""@donttrythis I've probably seen every episode of Mythbusters 30 times now. I watch it when I'm feeling anxious. Kno\xe2\x80\xa6 https://t.co/wf7UzIlcCh"""
1.05824E+18,11/2/2018 5:56,"b""Hey @harpoonbrewery! Austin, TX resident here. Word got out about your Dunkin' Coffee Porter and me and my roommate\xe2\x80\xa6 https://t.co/8W2kVsvy5G"""
1.05803E+18,11/1/2018 16:30,"b""Excited to play with the new 1.1.1.1 resolver app beta on Android. It's a fluid, 100% painless way to have fully se\xe2\x80\xa6 https://t.co/kLvGiRYkjQ"""
1.05803E+18,11/1/2018 16:26,b'RT @system76: It\xe2\x80\x99s here! Thelio is now available for preorder! Customize your own powerful desktop and experience the stellar performance o\xe2\x80\xa6'
1.05777E+18,10/31/2018 23:07,"b""@Sirius242 Since the software's free and open-source, you can use it commercially without paying. That's just how t\xe2\x80\xa6 https://t.co/WrsJw6ZtUi"""
1.0577E+18,10/31/2018 18:09,"b""It's one thing to do that to a developer who's making a steady income and just working on a project on the side, bu\xe2\x80\xa6 https://t.co/YFDy7f4umC"""
1.0577E+18,10/31/2018 18:07,"b'I believe strongly in the principles of FOSS software, and I like the flexibility that Apache 2 offers the project.\xe2\x80\xa6 https://t.co/FtgvzQM6Dl'"
1.0577E+18,10/31/2018 18:06,"b""While I appreciate that my particular FOSS license of choice (Apache 2) allows commercialization, I'm disheartened\xe2\x80\xa6 https://t.co/Rxydme7hJf"""
1.05701E+18,10/29/2018 20:57,b'@CiPHPerCoder https://t.co/zN1RUygSBg\n\nI am! &lt;3'
1.05665E+18,10/28/2018 21:03,"b""RT @AzuraCast: We've hit another major milestone: 300 stars on GitHub!\n\nThanks to everyone who has supported this project. We're humbled by\xe2\x80\xa6"""
1.0546E+18,10/23/2018 4:54,"b'Whatever happens as a result of this, just promise me that any resulting fork of SQLite will be named\n\nSeQuLar https://t.co/rdt0M8THhz'"
1.05378E+18,10/20/2018 22:43,"b""I figured I'd give them the benefit of the doubt on this and install it anyway, but the only partition it would ins\xe2\x80\xa6 https://t.co/SDhX3vx9Sg"""
1.05378E+18,10/20/2018 22:40,"b'Yes, apparently in the newest ElementaryOS (Juno), changing DPI from ""Automatic"" to ""Double Pixels"" (presumably 200\xe2\x80\xa6 https://t.co/yp4Krur7TD'"
1.05378E+18,10/20/2018 22:38,"b""Me: I think I'll try out the new ElementaryOS release\n\n*boots live ISO image*\n*it doesn't figure out my displays ar\xe2\x80\xa6 https://t.co/PEQi8AA9pb"""
1.05306E+18,10/18/2018 23:21,"b'Please keep me in your thoughts, friends, respected peers, listeners, station owners, everyone.\n\nThis is the dark p\xe2\x80\xa6 https://t.co/hfg1f8WIN0'"
1.05306E+18,10/18/2018 23:19,"b'Normally I can contain the more ""depressing"" aspect of my life inside a protected account, but tomorrow when I walk\xe2\x80\xa6 https://t.co/GZTobGqSlt'"
